county_name,cases,county_id,State FIPS code,County FIPS code,population,confirmed_case_hospitalization,deaths,case rate,death rate,14 day case rate,14 day cases,antigen_cases,probable_deaths,antigen_case_hospitalization
Appling,3759,US-13001,13,1,18561,302,116,20252.14,624.97,10.78,2,1389,19,25
Atkinson,1666,US-13003,13,3,8330,250,45,20000,540.22,0,0,741,10,27
Bacon,2782,US-13005,13,5,11404,242,69,24394.95,605.05,8.77,1,1224,12,19
Baker,337,US-13007,13,7,3116,52,14,10815.15,449.29,0,0,276,1,3
Baldwin,8211,US-13009,13,9,44428,478,210,18481.59,472.67,31.51,14,2608,47,26
Banks,3829,US-13011,13,11,19982,375,90,19162.25,450.41,25.02,5,564,9,8
Barrow,22208,US-13013,13,13,86383,1124,261,25708.76,302.14,57.88,50,2630,15,8
Bartow,25075,US-13015,13,15,110771,1405,406,22636.79,366.52,71.32,79,8670,60,114
Ben Hill,2334,US-13017,13,17,16645,204,74,14022.23,444.58,66.09,11,2516,48,86
Berrien,2224,US-13019,13,19,19276,124,63,11537.66,326.83,20.75,4,3374,29,48
Bibb,32480,US-13021,13,21,152150,2997,715,21347.35,469.93,31.55,48,10738,99,103
Bleckley,1573,US-13023,13,23,12838,85,47,12252.69,366.1,23.37,3,2151,60,82
Brantley,2695,US-13025,13,25,19202,203,93,14035,484.32,15.62,3,1884,20,41
Brooks,2119,US-13027,13,27,15727,171,75,13473.64,476.89,31.79,5,1779,20,27
Bryan,7770,US-13029,13,29,39137,458,85,19853.34,217.19,35.77,14,2873,18,27
Bulloch,11338,US-13031,13,31,79467,417,117,14267.56,147.23,7.55,6,6015,160,286
Burke,3188,US-13033,13,33,22342,269,71,14269.09,317.79,8.95,2,2848,47,42
Butts,5374,US-13035,13,35,25174,334,154,21347.42,611.74,87.39,22,1964,18,19
Calhoun,1066,US-13037,13,37,6317,115,24,16875.1,379.93,15.83,1,445,1,3
Camden,10260,US-13039,13,39,53924,277,116,19026.78,215.12,29.67,16,2999,20,35
Candler,1483,US-13043,13,43,10837,116,59,13684.6,544.43,18.46,2,1011,47,52
Carroll,16236,US-13045,13,45,120119,493,192,13516.6,159.84,29.97,36,10759,294,386
Catoosa,13999,US-13047,13,47,68771,441,148,20355.96,215.21,36.35,25,2558,44,46
Charlton,2441,US-13049,13,49,13251,128,48,18421.25,362.24,7.55,1,889,17,22
Chatham,62327,US-13051,13,51,292176,3883,882,21332.01,301.87,41.76,122,13480,93,104
Chattahoochee,6823,US-13053,13,53,10749,63,17,63475.67,158.15,93.03,10,938,5,3
Chattooga,5821,US-13055,13,55,24766,356,128,23504,516.84,16.15,4,1576,18,23
Cherokee,52345,US-13057,13,57,266617,2641,620,19633.03,232.54,59.64,159,20201,49,64
Clarke,29888,US-13059,13,59,129779,1593,233,23029.92,179.54,45.46,59,3989,16,12
Clay,381,US-13061,13,61,2855,15,6,13345.01,210.16,0,0,204,1,4
Clayton,67552,US-13063,13,63,304838,3861,967,22159.97,317.22,47.89,146,6923,81,29
Clinch,1540,US-13065,13,65,6656,101,41,23137.02,615.99,30.05,2,849,3,10
Cobb,163372,US-13067,13,67,790588,5313,1814,20664.62,229.45,66.79,528,42849,172,263
Coffee,8617,US-13069,13,69,43042,1164,239,20019.98,555.27,11.62,5,2951,59,142
Colquitt,8877,US-13071,13,71,45393,442,192,19555.88,422.97,41.86,19,3708,76,41
Columbia,23572,US-13073,13,73,158631,1005,339,14859.64,213.7,30.26,48,17817,72,112
Cook,2230,US-13075,13,75,17437,152,59,12788.9,338.36,17.2,3,3257,21,36
Coweta,26017,US-13077,13,77,152001,1957,447,17116.33,294.08,61.84,94,12908,67,86
Crawford,1371,US-13079,13,79,12228,131,54,11211.97,441.61,16.36,2,734,9,9
Crisp,2659,US-13081,13,81,22289,211,73,11929.65,327.52,8.97,2,2739,69,114
Dade,2948,US-13083,13,83,16162,107,28,18240.32,173.25,37.12,6,878,8,10
Dawson,7146,US-13085,13,85,27021,442,101,26446.1,373.78,62.91,17,828,4,6
DeKalb,159751,US-13089,13,89,793154,9498,1677,20141.23,211.43,63.29,502,21831,197,99
Decatur,5889,US-13087,13,87,26322,292,98,22372.92,372.31,22.79,6,2284,39,76
Dodge,2236,US-13091,13,91,20385,146,75,10968.85,367.92,9.81,2,3500,89,102
Dooly,1654,US-13093,13,93,13400,120,43,12343.28,320.9,7.46,1,1063,30,38
Dougherty,15977,US-13095,13,95,89905,1762,483,17770.98,537.23,23.36,21,7016,51,36
Douglas,33310,US-13097,13,97,151906,1410,355,21928.03,233.7,69.12,105,7889,88,131
Early,2238,US-13099,13,99,10146,127,56,22057.95,551.94,0,0,784,9,16
Echols,495,US-13101,13,101,3969,19,6,12471.66,151.17,50.39,2,534,6,11
Effingham,11631,US-13103,13,103,64026,682,180,18166.06,281.14,10.93,7,4136,28,30
Elbert,2882,US-13105,13,105,18945,338,88,15212.46,464.5,5.28,1,2203,30,56
Emanuel,3612,US-13107,13,107,22664,259,82,15937.17,361.81,22.06,5,2964,82,279
Evans,1642,US-13109,13,109,10687,149,41,15364.46,383.64,0,0,1091,26,63
Fannin,4536,US-13111,13,111,26320,375,142,17234.04,539.51,53.19,14,1064,33,23
Fayette,21597,US-13113,13,113,117544,1368,318,18373.55,270.54,71.46,84,6089,46,33
Floyd,25971,US-13115,13,115,99916,1723,439,25992.83,439.37,58.05,58,4887,108,130
Forsyth,51775,US-13117,13,117,252507,1718,419,20504.38,165.94,66.93,169,11981,22,21
Franklin,4761,US-13119,13,119,23329,305,85,20408.08,364.35,72.87,17,1111,23,12
Fulton,225733,US-13121,13,121,1099181,11554,2299,20536.47,209.16,67.32,740,37042,252,169
Gilmer,5132,US-13123,13,123,31417,517,156,16335.11,496.55,73.21,23,2744,31,29
Glascock,290,US-13125,13,125,3025,33,9,9586.78,297.52,66.12,2,387,17,8
Glynn,20044,US-13127,13,127,86047,814,377,23294.25,438.13,24.41,21,6260,46,49
Gordon,13348,US-13129,13,129,58049,544,249,22994.37,428.95,55.13,32,5751,43,44
Grady,4092,US-13131,13,131,24540,295,81,16674.82,330.07,8.15,2,2533,31,39
Greene,3709,US-13133,13,133,18717,341,79,19816.21,422.08,80.14,15,850,10,6
Gwinnett,204868,US-13135,13,135,971145,8220,1888,21095.51,194.41,51.38,499,38660,134,103
Habersham,9295,US-13137,13,137,45800,780,256,20294.76,558.95,39.3,18,1778,24,23
Hall,53382,US-13139,13,139,206349,3853,840,25869.76,407.08,76.57,158,7059,55,49
Hancock,1584,US-13141,13,141,8193,144,83,19333.58,1013.06,0,0,280,8,4
Haralson,3788,US-13143,13,143,30722,125,71,12329.93,231.1,9.76,3,2258,112,76
Harris,5759,US-13145,13,145,34712,399,104,16590.8,299.61,28.81,10,1082,14,23
Hart,3523,US-13147,13,147,26107,237,69,13494.47,264.3,49.8,13,1798,41,26
Heard,1708,US-13149,13,149,12370,117,37,13807.6,299.11,72.76,9,764,23,28
Henry,54385,US-13151,13,151,239866,2860,669,22673.08,278.91,68.79,165,13709,61,66
Houston,27586,US-13153,13,153,157039,1348,353,17566.34,224.78,48.4,76,19519,174,441
Irwin,1108,US-13155,13,155,9433,116,27,11746,286.23,31.8,3,1009,27,27
Jackson,20643,US-13157,13,157,74700,1207,286,27634.54,382.86,73.63,55,2958,19,14
Jasper,1958,US-13159,13,159,14199,206,44,13789.7,309.88,28.17,4,1607,35,16
Jeff Davis,2406,US-13161,13,161,15148,144,49,15883.28,323.48,0,0,1835,26,102
Jefferson,2334,US-13163,13,163,15313,235,85,15241.95,555.08,6.53,1,1726,32,44
Jenkins,1137,US-13165,13,165,8576,110,45,13257.93,524.72,11.66,1,552,22,47
Johnson,1612,US-13167,13,167,9661,138,64,16685.64,662.46,0,0,903,18,25
Jones,4192,US-13169,13,169,28591,366,108,14661.96,377.74,38.47,11,1605,11,15
Lamar,3688,US-13171,13,171,19347,268,105,19062.39,542.72,20.68,4,1866,19,22
Lanier,1248,US-13173,13,173,10351,50,21,12056.81,202.88,48.3,5,1350,8,16
Laurens,9407,US-13175,13,175,47296,493,263,19889.63,556.07,21.14,10,6160,59,63
Lee,4275,US-13177,13,177,29971,416,97,14263.79,323.65,6.67,2,4039,13,12
Liberty,13233,US-13179,13,179,61904,456,116,21376.65,187.39,29.08,18,1818,45,29
Lincoln,915,US-13181,13,181,8125,93,32,11261.54,393.85,12.31,1,854,6,9
Long,2691,US-13183,13,183,19915,116,27,13512.43,135.58,40.17,8,653,9,8
Lowndes,17623,US-13185,13,185,117878,728,304,14950.2,257.89,29.69,35,17862,117,233
Lumpkin,7772,US-13187,13,187,33802,553,115,22992.72,340.22,88.75,30,621,21,4
Macon,1369,US-13193,13,193,12988,126,45,10540.5,346.47,23.1,3,1195,8,15
Madison,6541,US-13195,13,195,30177,534,105,21675.45,347.95,29.82,9,1120,14,7
Marion,1071,US-13197,13,197,8293,112,44,12914.51,530.57,60.29,5,716,10,11
McDuffie,3225,US-13189,13,189,21597,302,84,14932.63,388.94,18.52,4,2661,25,41
McIntosh,2201,US-13191,13,191,14567,114,35,15109.49,240.27,13.73,2,541,4,4
Meriwether,3862,US-13199,13,199,21020,367,130,18372.98,618.46,76.12,16,1397,24,13
Miller,1413,US-13201,13,201,5764,69,18,24514.23,312.28,34.7,2,522,12,8
Mitchell,3374,US-13205,13,205,22056,351,106,15297.42,480.59,4.53,1,2634,18,32
Monroe,4439,US-13207,13,207,27727,322,142,16009.67,512.14,32.46,9,2261,40,46
Montgomery,1548,US-13209,13,209,9224,82,51,16782.31,552.91,21.68,2,695,5,8
Morgan,3423,US-13211,13,211,19138,253,59,17885.88,308.29,41.8,8,1857,12,15
Murray,10225,US-13213,13,213,40261,456,179,25396.79,444.6,84.45,34,2824,19,21
Muscogee,36417,US-13215,13,215,191626,2853,777,19004.21,405.48,33.92,65,7288,112,200
Newton,21710,US-13217,13,217,112354,2661,425,19322.85,378.27,57.85,65,7174,55,46
Non-GA Resident/Unknown State,75450,US-.,,,0,4085,1036,0,0,0,251,20129,533,239
Oconee,7950,US-13219,13,219,41737,357,101,19047.85,241.99,16.77,7,2090,13,6
Oglethorpe,2697,US-13221,13,221,15240,257,57,17696.85,374.02,32.81,5,931,5,4
Paulding,30706,US-13223,13,223,172542,824,341,17796.25,197.63,62.01,107,13596,119,129
Peach,4376,US-13225,13,225,27375,357,113,15985.39,412.79,36.53,10,3180,31,48
Pickens,5814,US-13227,13,227,33530,571,141,17339.7,420.52,44.74,15,3824,41,29
Pierce,2945,US-13229,13,229,19545,321,108,15067.79,552.57,10.23,2,3297,33,60
Pike,3018,US-13231,13,231,18860,218,81,16002.12,429.48,5.3,1,3173,25,29
Polk,10407,US-13233,13,233,43482,750,175,23934.04,402.47,71.29,31,2940,30,63
Pulaski,1377,US-13235,13,235,10893,73,50,12641.15,459.01,27.54,3,1160,34,44
Putnam,4145,US-13237,13,237,21885,329,105,18939.91,479.78,77.68,17,912,6,4
Quitman,270,US-13239,13,239,2294,24,3,11769.83,130.78,0,0,242,2,3
Rabun,3060,US-13241,13,241,16986,289,84,18014.84,494.52,52.98,9,920,19,20
Randolph,921,US-13243,13,243,6754,125,42,13636.36,621.85,0,0,785,7,4
Richmond,41599,US-13245,13,245,202240,2673,763,20569.13,377.27,46.48,94,16287,178,206
Rockdale,18536,US-13247,13,247,94960,2459,306,19519.8,322.24,64.24,61,3765,30,22
Schley,579,US-13249,13,249,5275,37,11,10976.3,208.53,0,0,762,0,4
Screven,2010,US-13251,13,251,13900,129,39,14460.43,280.58,28.78,4,1011,35,61
Seminole,1832,US-13253,13,253,8140,127,30,22506.14,368.55,24.57,2,549,5,8
Spalding,11749,US-13255,13,255,69110,920,373,17000.43,539.72,33.28,23,6680,64,53
Stephens,6465,US-13257,13,257,26328,448,144,24555.61,546.95,60.77,16,443,29,15
Stewart,2529,US-13259,13,259,6129,155,32,41262.85,522.11,505.79,31,501,3,3
Sumter,4281,US-13261,13,261,29399,494,164,14561.72,557.84,17.01,5,3884,16,20
Talbot,1048,US-13263,13,263,6158,97,33,17018.51,535.89,0,0,259,1,9
Taliaferro,203,US-13265,13,265,1632,23,3,12438.73,183.82,122.55,2,119,1,1
Tattnall,3618,US-13267,13,267,25411,211,88,14237.93,346.31,15.74,4,1981,54,113
Taylor,1285,US-13269,13,269,7958,129,38,16147.27,477.51,62.83,5,1020,13,20
Telfair,1354,US-13271,13,271,15644,105,59,8655.08,377.14,0,0,2015,29,63
Terrell,1271,US-13273,13,273,8467,185,66,15011.22,779.5,11.81,1,1121,4,2
Thomas,9545,US-13275,13,275,44431,703,193,21482.75,434.38,18.01,8,3738,35,68
Tift,6727,US-13277,13,277,40830,641,171,16475.63,418.81,24.49,10,6442,63,137
Toombs,5841,US-13279,13,279,26983,311,177,21646.96,655.97,59.3,16,1876,34,31
Towns,2357,US-13281,13,281,12034,234,89,19586.17,739.57,91.41,11,372,29,14
Treutlen,1229,US-13283,13,283,6829,78,53,17996.78,776.1,14.64,1,568,16,11
Troup,14098,US-13285,13,285,70414,806,343,20021.59,487.12,38.34,27,3865,63,47
Turner,1229,US-13287,13,287,8076,138,49,15217.93,606.74,37.15,3,1793,16,41
Twiggs,1174,US-13289,13,289,8086,172,58,14518.92,717.29,12.37,1,592,15,11
Union,5118,US-13291,13,291,25335,497,156,20201.3,615.75,71.05,18,660,17,12
Unknown,10225,US-.,,,0,91,0,0,0,0,52,2449,1,13
Upson,4883,US-13293,13,293,26277,430,187,18582.79,711.65,38.06,10,4188,64,35
Walker,15116,US-13295,13,295,69610,625,216,21715.27,310.3,41.66,29,4130,53,83
Walton,18372,US-13297,13,297,95814,2003,412,19174.65,430,51.14,49,6564,49,47
Ware,6301,US-13299,13,299,35853,646,228,17574.54,635.93,19.52,7,4778,67,129
Warren,719,US-13301,13,301,5210,85,25,13800.38,479.85,0,0,510,7,7
Washington,3515,US-13303,13,303,20302,161,84,17313.57,413.75,24.63,5,1454,57,43
Wayne,6254,US-13305,13,305,29974,548,192,20864.75,640.56,20.02,6,2284,28,35
Webster,274,US-13307,13,307,2550,31,10,10745.1,392.16,0,0,238,0,3
Wheeler,981,US-13309,13,309,7909,48,35,12403.59,442.53,25.29,2,548,4,8
White,7317,US-13311,13,311,31758,533,152,23039.86,478.62,116.51,37,546,21,12
Whitfield,29736,US-13313,13,313,104672,1165,433,28408.74,413.67,36.3,38,8225,40,34
Wilcox,875,US-13315,13,315,8790,103,35,9954.49,398.18,0,0,1436,37,47
Wilkes,1171,US-13317,13,317,10014,160,38,11693.63,379.47,0,0,1389,17,30
Wilkinson,1842,US-13319,13,319,8919,177,56,20652.54,627.87,44.85,4,724,8,6
Worth,2547,US-13321,13,321,20142,318,97,12645.22,481.58,4.96,1,2732,27,46
